一级分类,二级分类,三级功能,Skill名称,技能名称 英文,功能描述,功能偏向,优先级,是否建议首批建设,依赖Skill,边界定位,阶段边界,动作边界,上游边界,下游衔接,相邻技能边界,被依赖次数
需求与产品定义,需求收集,需求归并,需求收集归并,requirement-collection-consolidation,汇总多个来源的需求并去重归类,辅助查看,P1,否,无,在需求与产品定义-需求收集环节，围绕“汇总多个来源的需求并去重归类”提供以汇总、归类、展示为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责汇总、合并和归类输入，不做价值判断、优先级排序或正式方案定稿。,无强依赖；可直接基于原始输入材料启动。,典型下游衔接：需求去重与聚类；需求背景补全。,同一子域相邻技能：需求去重与聚类。,2
需求与产品定义,需求收集,需求去重,需求去重与聚类,requirement-deduplication-and-clustering,识别重复需求和相似诉求并聚类,帮助理解,P1,否,需求收集归并,在需求与产品定义-需求收集环节，围绕“识别重复需求和相似诉求并聚类”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责识别重复项和相似主题，不决定保留哪条需求进入版本。,以上游技能输出为前置输入：需求收集归并。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：需求收集归并。,0
需求与产品定义,需求分析,背景补全,需求背景补全,requirement-context-enrichment,补齐业务背景、目标、角色、场景和边界,帮助理解,P1,否,需求收集归并,在需求与产品定义-需求分析环节，围绕“补齐业务背景、目标、角色、场景和边界”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责补齐缺失信息，不凭空创造未经证实的新规则、新范围或新承诺。,以上游技能输出为前置输入：需求收集归并。,典型下游衔接：用户痛点分析；用户旅程分析；竞品分析；需求优先级评估；需求价值评估；需求成本预估 等。,主要与这些技能形成边界：需求收集归并；用户痛点分析；用户旅程分析；竞品分析。,9
需求与产品定义,用户研究,痛点识别,用户痛点分析,user-pain-point-analysis,提炼用户核心痛点和影响范围,帮助理解,P1,否,需求背景补全,在需求与产品定义-用户研究环节，围绕“提炼用户核心痛点和影响范围”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责提炼现状与差异，帮助理解，不替代最终决策或正式排期。,以上游技能输出为前置输入：需求背景补全。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：用户旅程分析。,0
需求与产品定义,用户研究,路径分析,用户旅程分析,user-journey-analysis,分析用户从进入到完成目标的过程与断点,帮助理解,P1,否,需求背景补全,在需求与产品定义-用户研究环节，围绕“分析用户从进入到完成目标的过程与断点”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责提炼现状与差异，帮助理解，不替代最终决策或正式排期。,以上游技能输出为前置输入：需求背景补全。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：用户痛点分析。,0
需求与产品定义,市场研究,竞品分析,竞品分析,competitor-analysis,输出竞品能力、规则和差异点,帮助理解,P1,否,需求背景补全,在需求与产品定义-市场研究环节，围绕“输出竞品能力、规则和差异点”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责分析竞品能力、规则和差异，不直接给出本方产品路线结论。,以上游技能输出为前置输入：需求背景补全。,典型下游衔接：竞品功能对标；需求优先级评估。,同一子域相邻技能：竞品功能对标。,2
需求与产品定义,市场研究,对标分析,竞品功能对标,competitor-feature-benchmarking,针对指定模块与竞品逐项对比,辅助查看,P1,否,竞品分析,在需求与产品定义-市场研究环节，围绕“针对指定模块与竞品逐项对比”提供以汇总、归类、展示为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责按指定维度逐项比对，不覆盖完整市场扫描或战略推演。,以上游技能输出为前置输入：竞品分析。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：竞品分析。,0
需求与产品定义,需求规划,优先级判断,需求优先级评估,requirement-priority-assessment,按价值、成本、风险、时效给需求排序,辅助决策,P1,否,需求背景补全; 竞品分析,在需求与产品定义-需求规划环节，围绕“按价值、成本、风险、时效给需求排序”提供以判断依据、风险提示、建议为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责给出评估依据、估计或排序建议，不替代负责人最终拍板。,以上游技能输出为前置输入：需求背景补全; 竞品分析。,典型下游衔接：版本范围裁剪建议。,同一子域相邻技能：需求价值评估；需求成本预估；需求风险预判。,1
需求与产品定义,需求规划,价值判断,需求价值评估,requirement-value-assessment,评估业务收益、用户收益和战略价值,辅助决策,P1,否,需求背景补全,在需求与产品定义-需求规划环节，围绕“评估业务收益、用户收益和战略价值”提供以判断依据、风险提示、建议为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责给出评估依据、估计或排序建议，不替代负责人最终拍板。,以上游技能输出为前置输入：需求背景补全。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：需求优先级评估；需求成本预估；需求风险预判。,0
需求与产品定义,需求规划,成本判断,需求成本预估,requirement-cost-estimation,粗估研发、测试和协同成本,辅助决策,P1,否,需求背景补全,在需求与产品定义-需求规划环节，围绕“粗估研发、测试和协同成本”提供以判断依据、风险提示、建议为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责给出评估依据、估计或排序建议，不替代负责人最终拍板。,以上游技能输出为前置输入：需求背景补全。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：需求优先级评估；需求价值评估；需求风险预判。,0
