node_id,node_order,node_name,node_goal,node_stage,node_substage,skill_name_cn,skill_name_en,skill_role_in_node,source_l1,source_l2,source_l3,dependency_skills,current_node_input_docs,current_node_output_docs,next_node_ids,next_node_names,next_node_input_docs,priority,recommended_first_batch,boundary_positioning,phase_boundary,action_boundary,upstream_boundary,downstream_handoff,adjacent_skill_boundary,dependency_count
N010,10,需求输入归档,汇总多来源需求并形成统一编号的原始需求输入包,需求与产品定义,需求收集,需求收集归并,requirement-collection-consolidation,执行,需求与产品定义,需求收集,需求归并,无,原始需求列表; 会议纪要; 客诉/反馈记录; 原型链接/截图,原始需求池.csv; 需求来源索引.md,N020,需求去重聚类,原始需求池.csv; 需求来源索引.md,P1,否,在需求与产品定义-需求收集环节，围绕“汇总多个来源的需求并去重归类”提供以汇总、归类、展示为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责汇总、合并和归类输入，不做价值判断、优先级排序或正式方案定稿。,无强依赖；可直接基于原始输入材料启动。,典型下游衔接：需求去重与聚类；需求背景补全。,同一子域相邻技能：需求去重与聚类。,2
N020,20,需求去重聚类,识别重复需求、归并相似诉求并输出主题分组,需求与产品定义,需求收集,需求去重与聚类,requirement-deduplication-and-clustering,执行,需求与产品定义,需求收集,需求去重,需求收集归并,原始需求池.csv; 需求来源索引.md,需求去重结果.csv; 需求主题聚类表.csv,N030,需求背景补全,需求去重结果.csv; 需求主题聚类表.csv,P1,否,在需求与产品定义-需求收集环节，围绕“识别重复需求和相似诉求并聚类”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责识别重复项和相似主题，不决定保留哪条需求进入版本。,以上游技能输出为前置输入：需求收集归并。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：需求收集归并。,0
N030,30,需求背景补全,补齐业务背景、目标、角色、场景、范围边界和待确认问题,需求与产品定义,需求分析,需求背景补全,requirement-context-enrichment,分析/提炼,需求与产品定义,需求分析,背景补全,需求收集归并,需求去重结果.csv; 需求主题聚类表.csv; PRD/草案.md,需求背景卡.md; 待确认问题清单.csv,N040;N050;N060;N070,用户问题洞察;竞品研究;需求规划评估;需求结构化建模,需求背景卡.md; 待确认问题清单.csv,P1,否,在需求与产品定义-需求分析环节，围绕“补齐业务背景、目标、角色、场景和边界”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责补齐缺失信息，不凭空创造未经证实的新规则、新范围或新承诺。,以上游技能输出为前置输入：需求收集归并。,典型下游衔接：用户痛点分析；用户旅程分析；竞品分析；需求优先级评估；需求价值评估；需求成本预估 等。,主要与这些技能形成边界：需求收集归并；用户痛点分析；用户旅程分析；竞品分析。,9
N040,40,用户问题洞察,提炼用户痛点、用户旅程断点和影响范围,需求与产品定义,用户研究,用户旅程分析,user-journey-analysis,分析/提炼,需求与产品定义,用户研究,路径分析,需求背景补全,需求背景卡.md; 用户反馈摘录.md,用户痛点卡.md; 用户旅程断点表.csv,N060;N090,需求规划评估;PRD产出与评审,用户痛点卡.md; 用户旅程断点表.csv,P1,否,在需求与产品定义-用户研究环节，围绕“分析用户从进入到完成目标的过程与断点”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责提炼现状与差异，帮助理解，不替代最终决策或正式排期。,以上游技能输出为前置输入：需求背景补全。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：用户痛点分析。,0
N040,40,用户问题洞察,提炼用户痛点、用户旅程断点和影响范围,需求与产品定义,用户研究,用户痛点分析,user-pain-point-analysis,分析/提炼,需求与产品定义,用户研究,痛点识别,需求背景补全,需求背景卡.md; 用户反馈摘录.md,用户痛点卡.md; 用户旅程断点表.csv,N060;N090,需求规划评估;PRD产出与评审,用户痛点卡.md; 用户旅程断点表.csv,P1,否,在需求与产品定义-用户研究环节，围绕“提炼用户核心痛点和影响范围”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责提炼现状与差异，帮助理解，不替代最终决策或正式排期。,以上游技能输出为前置输入：需求背景补全。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：用户旅程分析。,0
N050,50,竞品研究,形成竞品能力扫描与功能对标结果，为后续规划提供外部参照,需求与产品定义,市场研究,竞品分析,competitor-analysis,分析/提炼,需求与产品定义,市场研究,竞品分析,需求背景补全,需求背景卡.md; 竞品资料.md/链接,竞品能力扫描表.csv; 竞品功能对标表.csv,N060,需求规划评估,竞品能力扫描表.csv; 竞品功能对标表.csv,P1,否,在需求与产品定义-市场研究环节，围绕“输出竞品能力、规则和差异点”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责分析竞品能力、规则和差异，不直接给出本方产品路线结论。,以上游技能输出为前置输入：需求背景补全。,典型下游衔接：竞品功能对标；需求优先级评估。,同一子域相邻技能：竞品功能对标。,2
N050,50,竞品研究,形成竞品能力扫描与功能对标结果，为后续规划提供外部参照,需求与产品定义,市场研究,竞品功能对标,competitor-feature-benchmarking,分析/提炼,需求与产品定义,市场研究,对标分析,竞品分析,需求背景卡.md; 竞品资料.md/链接,竞品能力扫描表.csv; 竞品功能对标表.csv,N060,需求规划评估,竞品能力扫描表.csv; 竞品功能对标表.csv,P1,否,在需求与产品定义-市场研究环节，围绕“针对指定模块与竞品逐项对比”提供以汇总、归类、展示为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责按指定维度逐项比对，不覆盖完整市场扫描或战略推演。,以上游技能输出为前置输入：竞品分析。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：竞品分析。,0
N060,60,需求规划评估,综合价值、成本、风险与优先级，形成需求规划建议,需求与产品定义,需求规划,需求价值评估,requirement-value-assessment,校验/判断,需求与产品定义,需求规划,价值判断,需求背景补全,需求背景卡.md; 用户痛点卡.md; 竞品能力扫描表.csv,需求价值评估表.csv; 需求成本预估表.csv; 需求风险预判表.csv; 需求优先级建议.csv,N070;N090;N360,需求结构化建模;PRD产出与评审;跨团队对齐与版本节奏,需求优先级建议.csv; 需求价值评估表.csv; 需求风险预判表.csv,P1,否,在需求与产品定义-需求规划环节，围绕“评估业务收益、用户收益和战略价值”提供以判断依据、风险提示、建议为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责给出评估依据、估计或排序建议，不替代负责人最终拍板。,以上游技能输出为前置输入：需求背景补全。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：需求优先级评估；需求成本预估；需求风险预判。,0
N060,60,需求规划评估,综合价值、成本、风险与优先级，形成需求规划建议,需求与产品定义,需求规划,需求优先级评估,requirement-priority-assessment,校验/判断,需求与产品定义,需求规划,优先级判断,需求背景补全; 竞品分析,需求背景卡.md; 用户痛点卡.md; 竞品能力扫描表.csv,需求价值评估表.csv; 需求成本预估表.csv; 需求风险预判表.csv; 需求优先级建议.csv,N070;N090;N360,需求结构化建模;PRD产出与评审;跨团队对齐与版本节奏,需求优先级建议.csv; 需求价值评估表.csv; 需求风险预判表.csv,P1,否,在需求与产品定义-需求规划环节，围绕“按价值、成本、风险、时效给需求排序”提供以判断依据、风险提示、建议为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责给出评估依据、估计或排序建议，不替代负责人最终拍板。,以上游技能输出为前置输入：需求背景补全; 竞品分析。,典型下游衔接：版本范围裁剪建议。,同一子域相邻技能：需求价值评估；需求成本预估；需求风险预判。,1
N060,60,需求规划评估,综合价值、成本、风险与优先级，形成需求规划建议,需求与产品定义,需求规划,需求成本预估,requirement-cost-estimation,执行,需求与产品定义,需求规划,成本判断,需求背景补全,需求背景卡.md; 用户痛点卡.md; 竞品能力扫描表.csv,需求价值评估表.csv; 需求成本预估表.csv; 需求风险预判表.csv; 需求优先级建议.csv,N070;N090;N360,需求结构化建模;PRD产出与评审;跨团队对齐与版本节奏,需求优先级建议.csv; 需求价值评估表.csv; 需求风险预判表.csv,P1,否,在需求与产品定义-需求规划环节，围绕“粗估研发、测试和协同成本”提供以判断依据、风险提示、建议为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责给出评估依据、估计或排序建议，不替代负责人最终拍板。,以上游技能输出为前置输入：需求背景补全。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：需求优先级评估；需求价值评估；需求风险预判。,0
