node_id,node_order,node_name,node_goal,node_stage,node_substage,skills_in_node,skill_count,current_node_input_docs,current_node_output_docs,next_node_ids,next_node_names,next_node_input_docs
N010,10,需求输入归档,汇总多来源需求并形成统一编号的原始需求输入包,需求与产品定义,需求收集,需求收集归并,1,原始需求列表; 会议纪要; 客诉/反馈记录; 原型链接/截图,原始需求池.csv; 需求来源索引.md,N020,需求去重聚类,原始需求池.csv; 需求来源索引.md
N020,20,需求去重聚类,识别重复需求、归并相似诉求并输出主题分组,需求与产品定义,需求收集,需求去重与聚类,1,原始需求池.csv; 需求来源索引.md,需求去重结果.csv; 需求主题聚类表.csv,N030,需求背景补全,需求去重结果.csv; 需求主题聚类表.csv
N030,30,需求背景补全,补齐业务背景、目标、角色、场景、范围边界和待确认问题,需求与产品定义,需求分析,需求背景补全,1,需求去重结果.csv; 需求主题聚类表.csv; PRD/草案.md,需求背景卡.md; 待确认问题清单.csv,N040;N050;N060;N070,用户问题洞察;竞品研究;需求规划评估;需求结构化建模,需求背景卡.md; 待确认问题清单.csv
N040,40,用户问题洞察,提炼用户痛点、用户旅程断点和影响范围,需求与产品定义,用户研究,用户旅程分析; 用户痛点分析,2,需求背景卡.md; 用户反馈摘录.md,用户痛点卡.md; 用户旅程断点表.csv,N060;N090,需求规划评估;PRD产出与评审,用户痛点卡.md; 用户旅程断点表.csv
N050,50,竞品研究,形成竞品能力扫描与功能对标结果，为后续规划提供外部参照,需求与产品定义,市场研究,竞品分析; 竞品功能对标,2,需求背景卡.md; 竞品资料.md/链接,竞品能力扫描表.csv; 竞品功能对标表.csv,N060,需求规划评估,竞品能力扫描表.csv; 竞品功能对标表.csv
N060,60,需求规划评估,综合价值、成本、风险与优先级，形成需求规划建议,需求与产品定义,需求规划,需求价值评估; 需求优先级评估; 需求成本预估; 需求风险预判,4,需求背景卡.md; 用户痛点卡.md; 竞品能力扫描表.csv,需求价值评估表.csv; 需求成本预估表.csv; 需求风险预判表.csv; 需求优先级建议.csv,N070;N090;N360,需求结构化建模;PRD产出与评审;跨团队对齐与版本节奏,需求优先级建议.csv; 需求价值评估表.csv; 需求风险预判表.csv
N070,70,需求结构化建模,将需求拆成功能、规则、状态、权限和数据对象等可交付结构,需求与产品定义,需求结构化,业务规则抽取; 数据对象识别; 权限矩阵提取; 状态流转梳理; 需求拆解,5,需求背景卡.md; 需求优先级建议.csv; PRD/草案.md,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,N080;N090;N100;N230;N260,原型解析;PRD产出与评审;需求质量门禁;测试设计;质量门禁与专项测试,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv
N080,80,原型解析,从页面原型中提取功能点、动作、字段与后端需求,需求与产品定义,原型理解,原型转功能点; 原型转后端需求; 表单字段提取; 页面动作提取,4,原型链接/截图; 需求背景卡.md; 需求结构树.md,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv,N090;N100,PRD产出与评审;需求质量门禁,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv
N090,90,PRD产出与评审,生成结构化PRD、补全缺项并产出评审问题,需求与产品定义,文档产出,PRD生成; PRD补全; PRD评审问题生成,3,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 原型功能点表.csv,PRD.md; PRD补全建议.md; PRD评审问题清单.csv,N100;N110,需求质量门禁;需求交接与验收,PRD.md; PRD补全建议.md; PRD评审问题清单.csv
N100,100,需求质量门禁,检查需求完整性、可执行性、一致性、漏洞和未决项，并给出放行结论,需求质量保障,质量审查,待确认项提取; 需求可执行性检查; 需求完整性检查; 需求漏洞扫描; 需求矛盾检测; 需求质量审查,6,PRD.md; 需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv,完整性检查单.csv; 可执行性检查单.csv; 需求矛盾问题单.csv; 需求漏洞清单.csv; 待确认项清单.csv; 需求质量审查单.md,N110;N370,需求交接与验收;平台路由与多技能编排,需求质量审查单.md; 待确认项清单.csv
N110,110,需求交接与验收,产出研发/测试可消费的交接包、验收标准及变更同步信息,协同交接,交接与变更,研发反馈回传; 需求交接包生成; 需求变更同步; 需求变更影响分析; 验收标准生成,5,PRD.md; 需求质量审查单.md; 需求结构树.md; 业务规则清单.csv,需求交接包.zip; 验收标准.md; 需求变更影响分析.md; 需求变更同步通知.md; 研发反馈回传单.md,N120;N230;N350;N360,技术需求理解;测试设计;协同任务与风险管理;跨团队对齐与版本节奏,需求交接包.zip; 验收标准.md; 需求变更影响分析.md; 研发反馈回传单.md
N120,120,技术需求理解,将产品需求翻译成研发问题空间并抽取接口意图,技术方案设计,研发理解,开发需求解析; 接口意图抽取,2,需求交接包.zip; 需求质量审查单.md; 验收标准.md,开发需求解析.md; 接口意图清单.csv,N130;N150;N160,技术方案分析与评审;API设计与校验;数据模型设计,开发需求解析.md; 接口意图清单.csv
N130,130,技术方案分析与评审,产出技术方案分析、初稿和评审问题,技术方案设计,方案输出,技术方案分析; 技术方案初稿生成; 方案评审问题生成,3,开发需求解析.md; 接口意图清单.csv; 需求漏洞清单.csv,技术方案分析.md; 技术方案初稿.md; 方案评审问题清单.csv,N140;N150;N160;N170;N180;N330,架构与边界设计;API设计与校验;数据模型设计;高级与非功能设计;研发任务规划;技术与运维文档输出,技术方案分析.md; 技术方案初稿.md; 方案评审问题清单.csv
N140,140,架构与边界设计,识别模块边界并给出服务拆分建议,技术方案设计,架构拆分,服务拆分建议; 模块边界识别,2,技术方案分析.md,模块边界图.md; 服务拆分建议.md,N180,研发任务规划,模块边界图.md; 服务拆分建议.md
N150,150,API设计与校验,形成接口契约、规范检查结果和错误码设计,技术方案设计,API设计,API规范检查; API错误码设计; 接口设计建议,3,开发需求解析.md; 接口意图清单.csv; 技术方案分析.md,接口设计草案.yaml; API规范检查单.csv; 错误码清单.csv,N190;N200;N240;N330,代码骨架生成;实现辅助代码生成;回归与自动化编排;技术与运维文档输出,接口设计草案.yaml; API规范检查单.csv; 错误码清单.csv
N160,160,数据模型设计,形成表结构、索引与数据流设计,技术方案设计,数据设计,数据流梳理; 索引设计建议; 表结构设计建议,3,开发需求解析.md; 技术方案分析.md; 数据对象清单.csv,表结构设计草案.sql; 索引建议清单.csv; 数据流图.md,N170;N190;N200;N260;N330,高级与非功能设计;代码骨架生成;实现辅助代码生成;质量门禁与专项测试;技术与运维文档输出,表结构设计草案.sql; 索引建议清单.csv; 数据流图.md
N170,170,高级与非功能设计,补齐并发、幂等、审计、权限、性能和安全设计,技术方案设计,高级设计,安全风险分析; 审计留痕设计; 幂等设计建议; 并发控制建议; 性能风险分析; 权限模型设计,6,技术方案分析.md; 需求漏洞清单.csv; 表结构设计草案.sql; 权限矩阵.csv,并发控制建议.md; 幂等设计建议.md; 审计留痕方案.md; 权限模型设计.md; 性能风险分析.md; 安全风险分析.md,N180;N210;N260;N390,研发任务规划;代码质量静态检查;质量门禁与专项测试;平台治理与模板质量,并发控制建议.md; 幂等设计建议.md; 权限模型设计.md; 性能风险分析.md; 安全风险分析.md
N180,180,研发任务规划,将方案转成开发任务、工时和依赖关系,技术方案设计,任务管理,依赖识别; 工时估算辅助; 开发任务拆分,3,技术方案分析.md; 模块边界图.md; 服务拆分建议.md; 数据流图.md,开发任务拆分表.csv; 工时估算表.csv; 研发依赖清单.csv,N190;N220;N240;N270;N330;N350,代码骨架生成;Code Review与提交协同;回归与自动化编排;发布准备与策略;技术与运维文档输出;协同任务与风险管理,开发任务拆分表.csv; 工时估算表.csv; 研发依赖清单.csv
N190,190,代码骨架生成,生成工程骨架及控制器、服务、仓储层基础代码草稿,编码与实现,脚手架生成,Controller草稿生成; Repository草稿生成; Service草稿生成; 代码骨架生成,4,技术方案分析.md; 接口设计草案.yaml; 表结构设计草案.sql,工程骨架.zip; Controller草稿.java; Service草稿.java; Repository草稿.java,N200;N210,实现辅助代码生成;代码质量静态检查,工程骨架.zip; Controller草稿.java; Service草稿.java; Repository草稿.java
